Date,Code,weigh,temperature,Humidity(out),PH,Humidity,sum,result
18,B17,0,25,75,7.2,6.5,0,fail
19,B17,0,25,75,7.2,4.8,0,fail
20,B17,0,25,75,7.2,7,0,fail
21,B17,0,25,75,7.2,5.5,0,fail
22,B17,0,25,75,7.2,6.7,0,fail
23,B17,0,25,75,7.2,8,0,fail
24,B17,0,25,75,7.2,9,0,fail
25,B17,0,25,75,7.2,6.2,0,fail
26,B17,0,25,75,7.2,7,0,fail
27,B17,0,25,75,7.2,8,0,fail
28,B17,0,25,75,7.2,7.5,0,fail
29,B17,0,25,75,7.2,7,0,fail
1,B18,10,25,75,7,4,10,very bad
2,B18,0,25,75,7,5.5,0,fail
3,B18,0,25,75,7,5,0,fail
4,B18,0,25,75,7,6.5,0,fail
5,B18,0,25,75,7,7,0,fail
6,B18,0,25,75,7,7.2,0,fail
7,B18,0,25,75,7,8,0,fail
8,B18,0,25,75,7,8.5,0,fail
9,B18,20,25,75,7,4.7,30,very bad
10,B18,0,25,75,7.2,5,0,fail
11,B18,0,25,75,7.2,6.5,0,fail
12,B18,0,25,75,7.2,6.7,0,fail
13,B18,0,25,75,7.2,5.8,0,fail
14,B18,0,25,75,7.2,4.8,0,fail
15,B18,0,25,75,7.2,4.9,0,fail
16,B18,0,25,75,7.2,5.5,0,fail
17,B18,80,25,75,7,7.5,110,good
18,B18,0,25,75,7.2,8,0,fail
19,B18,0,25,75,7.2,6.2,0,fail
20,B18,0,25,75,7.2,5,0,fail
21,B18,0,25,75,7.2,5.5,0,fail
22,B18,0,25,75,7.2,4.8,0,fail
23,B18,0,25,75,7.2,4.8,0,fail
24,B18,0,25,75,7.2,6.5,0,fail
25,B18,0,25,75,7.2,5.8,0,fail
26,B18,0,25,75,7.2,7,0,fail
27,B18,0,25,75,7.2,7.3,0,fail
28,B18,0,25,75,7.2,7.8,0,fail
29,B18,140,25,75,7.2,9.8,250,over
1,B19,0,25,75,7,9,0,fail
2,B19,0,25,75,7,8.8,0,fail
3,B19,0,25,75,7,8.5,0,fail
4,B19,0,25,75,7,7,0,fail
5,B19,60,25,75,7,6.7,60,normal
6,B19,0,25,75,7,7.2,0,fail
7,B19,70,25,75,7,8.5,0,fail
8,B19,0,25,75,7,6,0,fail
9,B19,0,25,75,7,6.2,0,fail
10,B19,0,25,75,7,7,0,fail
11,B19,0,25,75,7,8,0,fail
12,B19,0,25,75,7,8.2,0,fail
13,B19,0,25,75,7,6.8,0,fail
14,B19,0,25,75,7,7.8,0,fail
15,B19,0,25,75,7,7.2,0,fail
16,B19,0,25,75,7,6.5,0,fail
17,B19,0,25,75,7.2,5,0,fail
18,B19,60,25,75,7.2,6.5,0,fail
19,B19,0,25,75,7.2,4.8,0,fail
20,B19,0,25,75,7.2,6.7,0,fail
